name,description,link,facebook,linkedin,instagram,youtube,website
Nittany Dance Project,"Our purpose is to provide a space on the Penn State campus for students that have had extensive dance training wherein they can continue to practice, perform and enjoy all different genres of dance in one specific club.",https://orgcentral.psu.edu/organization/nittanydanceproject,https://www.facebook.com/nittanydanceproject,N/A,http://www.instagram.com/nittanydanceproject,N/A,https://go.microsoft.com/fwlink
Nittany Data Labs,"Student Organization focused on data science education, application, and community.",https://orgcentral.psu.edu/organization/nittany-data-labs,N/A,https://www.linkedin.com/company/nittany-data-labs,https://www.instagram.com/ndlpsu,N/A,https://ndl.psu.edu/
Nittany Divers SCUBA Club,The Nittany Divers SCUBA Club is one of the oldest student organizations at Penn State! We are a dedicated group of students and faculty members that work to promote SCUBA diving and to spread the word on the importance of ocean conservation.,https://orgcentral.psu.edu/organization/nittany-divers-scuba-club,https://www.facebook.com/nittanydivers,N/A,https://www.instagram.com/ndscuba,N/A,https://go.microsoft.com/fwlink
Nittany Entrepreneur Society,"NES is an entrepreneurial and intrapreneurial community dedicated to connecting people with their passions, exposing them to new ideas, and challenging what is possible.",https://orgcentral.psu.edu/organization/nittanyentrepreneursociety,N/A,http://www.linkedin.com/company/nittanyentrepreneursociety,http://www.instagram.com/nes_pennstate,N/A,https://go.microsoft.com/fwlink
Nittany Gaffer's Guild,Nittany Gaffer's Guild is an inclusive community of students interested in fostering a community who appreciates the artistic and scientific aspects of glass as a material. Ceramicists are always welcome as well!,https://orgcentral.psu.edu/organization/nittanygaffersguild,N/A,N/A,N/A,N/A,https://sites.psu.edu/pennstateglassstudio
Nittany Grotto Caving Club,Promotes the interest in and advances the study of the science of speleology. Promotes the interests of the National Speleological Society (NSS) in the Central Pennsylvania area.,https://orgcentral.psu.edu/organization/nittany-grotto-caving-club,N/A,N/A,https://www.instagram.com/psu_cavingclub,N/A,http://sites.psu.edu/ngcavingclub
Nittany Markets Analysis Association,Provide education and facilitate discussion of current financial markets topics. Opportunities to hear from alumni on Wall Street.,https://orgcentral.psu.edu/organization/nittanymarkets,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Nittany Motorsports,"Here at University Park, we compete in the world's largest collegiate design series: Formula SAE/Formula Student. If you're interested in joining, come check us out in the Engineering Services Building or check our website and social media for updates.",https://orgcentral.psu.edu/organization/pennstateracing,https://www.facebook.com/profile.php,https://www.linkedin.com/company/98549645,http://www.instagram.com/NittanyMotorsports,https://www.youtube.com/channel/UCCSiZOLt6dKlfRmjTVNWiAg,https://sites.psu.edu/pennstateracing
Nittany Neuroscience Club,Nittany Neuroscience Club is a club dedicated to anyone who has in interest in the field of neuroscience or neurology. We are dedicated to promote interest in the field of neuroscience and expand its discoveries to the public.,https://orgcentral.psu.edu/organization/nittanyneuroscienceclub,N/A,N/A,https://www.instagram.com/nittanyneuro,N/A,https://sites.google.com/psu.edu
Nittany Recreational Curling League,"Take to the ice with over 100 Penn State students in the Nittany Recreational Curling League! No experience, skates, or any equipment is required to try curling in our recreational league open to all students. Join us at Pegula Ice Arena Sunday night!",https://orgcentral.psu.edu/organization/curlingleague,http://www.facebook.com/PennStateCurling,N/A,https://www.instagram.com/nrclpsu,https://www.youtube.com/channel/UCrnKaepFfC0w92iBdizZ7rw,https://sites.psu.edu/nittanycurlingleague
Nittany Rocket Labs,Penn State's high-powered rocketry team. We provide students of all skill levels with opportunities for hands-on involvement in rocketry-related projects.,https://orgcentral.psu.edu/organization/rockets,N/A,https://www.linkedin.com/company/seds-at-penn-state,https://www.instagram.com/seds_psu,N/A,https://go.microsoft.com/fwlink
